playlist_year,track_name,album_name,album_release_date,track_duration_ms,track_popularity,artist_name,artist_id,artist_followers,artist_genres,artist_popularity
2020,Amour censure,Sommeil levant,2020-06-05,207546,58,Hoshi,7mPT6wrOjVC4visft9qpYQ,731364,"['chanson', 'french pop', 'variete francaise']",63
2020,Mais je t'aime,Mais je t'aime,2020-06-19,268243,52,Grand Corps Malade,3PsyPWjsftbfeXGorZv4AM,935502,"['chanson', 'french pop']",61
2020,beau-papa,N'attendons pas,2020-10-30,197562,59,Vianney,4Nrd0CtP8txoQhnnlRA6V6,1411579,"['chanson', 'french pop']",63
2020,Tombé,PYRAMIDE,2019-04-12,233800,51,M. Pokora,6euPnGzBlDysAC5ecVguNZ,858919,"['french pop', 'r&b francais', 'variete francaise']",59
2020,Rétine,Ressources (Nouvelle Edition),2021-11-12,210138,55,Amir,6rl53MP8HSoiugpqzA50Zh,878670,['french pop'],59
2020,Hey Bro,Eloïz,2024-06-14,151653,53,Eloïz,1J7b2Snol73xTmYILnCk1t,18242,['french pop'],52
2020,Dépassé,La loi du papillon,2023-11-10,173266,63,Nuit Incolore,2oOAiE62UgqjCEWTHPdn0F,153223,['french pop'],56
2020,Donnez-moi,Les Frangines (Nouvelle édition),2020-12-04,214293,52,Les Frangines,2sYOUJa6fNc4ke4Zo6EkZ4,201727,"['french pop', 'variete francaise']",46
2020,Nous,aimée,2021-11-25,199546,53,Julien Doré,6jStlKLflTMUN6BajxrNlj,881852,"['chanson', 'french pop']",61
2020,"1,2,3","1,2,3",2020-10-29,225997,49,Amel Bent,15jZ8OLtnGATWHlQkltG7f,834745,['french pop'],54
2020,Ensemble,Aliocha Schneider,2023-09-29,182626,59,Aliocha Schneider,186IEnMYqWBPOAFn78wTPB,42340,"['canadian folk', 'indie quebecois']",54
2020,Le Dernier Jour du Disco,Brûler le feu,2021-11-19,207493,55,Juliette Armanet,61CPKXT0bcKj8MKTNTMOXa,367757,"['chanson', 'electro-pop francais', 'french indie pop', 'french pop', 'nouvelle chanson francaise']",56
2020,Parapluie,Moi c'est Jeck,2024-05-31,176125,59,Jeck,1kvygchIwU4XHXY8xD6ugf,41247,['french pop'],54
2020,Un jour je marierai un ange,"Un jour, je",2022-01-21,165557,51,Pierre de Maere,13mm5rU1jvWfWG6uQ46ypd,121551,['french pop'],55
2020,Douleur je fuis,Madame,2023-01-20,180653,36,Stéphane,1ONaDILNtXKICFlrBdmgif,16361,['french pop'],48
2020,La symphonie des éclairs,La symphonie des éclairs,2023-03-31,198789,67,Zaho de Sagazan,38GSybQjdc6sxptciOkxMq,231308,"['french pop', 'nouvelle chanson francaise']",64
2020,L’enfer,Multitude,2022-07-27,189720,48,Stromae,5j4HeCoUlzhfWtjAfM1acR,3437151,"['belgian pop', 'g-house']",72
2020,Voilà,Voilà,2020-11-06,176815,67,Barbara Pravi,3L4wiBOSDLkJ18OISXZDA8,233189,['nouvelle chanson francaise'],60
2020,Derrière le brouillard,MESDAMES deluxe,2021-09-10,253013,56,Grand Corps Malade,3PsyPWjsftbfeXGorZv4AM,935502,"['chanson', 'french pop']",61
